Type,Group,item,inference,answer,condition_name,condition,dialog1,dialog2,dialog3,answer1,answer2,correct,NULL
filler,A,1024,a,,filler_a,team-building,"After the audit last week, Chris was demoted.",I heard he used up the entire employee engagement budget in 9 months.,"Well, then ...",... it <span class='highlight'>triggered</span> an automatic review.,... it <span class='highlight'>might have triggered</span> an automatic review.,,bare / might
filler,A,1023,a,,filler_a,Overtime,Luke’s been coming home really late this week.,I heard he's working on a big project at work.,"Well, then ...",... he<span class='highlight'>'s been pulling</span> overtime. ,... he <span class='highlight'>has to have been pulling</span> overtime.,,bare / have to
filler,A,1022,a,,filler_a,pharma inspection,Bob’s employees had a big meeting yesterday,I heard his lab is undergoing an audit.,"Well, then ...",... the employees <span class='highlight'>might have gotten</span> a lot of extra work.  ,... the employees <span class='highlight'>have to have gotten</span> a lot of extra work.,,might / have to
filler,B,1027,i,,filler_i,safety helmets,"At my engineering firm, employees caught without safety helmets are suspended.","Oh, my husband works at another engineering firm, and he got caught without his helmet last week.","Well, then ...",... he <span class='highlight'>was suspended</span>.,... he <span class='highlight'>might have been suspended</span>.,,bare / might
filler,B,1026,i,,filler_i,lacrosse woes,"On my lacrosse team, athletes who miss 4 practices are put on academic probation.","Oh, my boyfriend is on another lacrosse team, and he missed 4 practices.","Well, then ...",... he <span class='highlight'>was put</span> on academic probation.,... he <span class='highlight'>has to have been put</span> on academic probation.,,bare / have to
filler,B,1025,i,,filler_i,gen ed ,"At my college, the study abroad program requires completing all the gen-ed classes.","Oh, my friend's in college, and she got into a study abroad program.","Well, then ...",... she <span class='highlight'>might have completed</span> all her gen ed requirements.,... she <span class='highlight'>has to have completed</span> all her gen ed requirements.,,might / have to
filler,B,1024,a,,filler_a,team-building,"After the audit last week, Chris was demoted.",I heard he used up the entire employee engagement budget in 9 months.,"Well, then ...",... it <span class='highlight'>triggered</span> an automatic review.,... it <span class='highlight'>might have triggered</span> an automatic review.,,bare / might
filler,B,1023,a,,filler_a,Overtime,Luke’s been coming home really late this week.,I heard he's working on a big project at work.,"Well, then ...",... he<span class='highlight'>'s been pulling</span> overtime. ,... he <span class='highlight'>has to have been pulling</span> overtime.,,bare / have to
filler,B,1022,a,,filler_a,pharma inspection,Bob’s employees had to work late in the lab yesterday.,I heard the lab he manages is being considered for Humane Research Facility Certification.,"Well, then ...",... the employees <span class='highlight'>might have gotten</span> a lot of extra work.  ,... the employees <span class='highlight'>have to have gotten</span> a lot of extra work.,,might / have to
filler,C,1027,i,,filler_i,safety helmets,"At my engineering firm, employees caught without safety helmets are suspended.","Oh, my husband works at another engineering firm, and he got caught without his helmet last week.","Well, then ...",... he <span class='highlight'>was suspended</span>.,... he <span class='highlight'>might have been suspended</span>.,,bare / might
filler,C,1026,i,,filler_i,lacrosse woes,"On my lacrosse team, athletes who miss 4 practices are put on academic probation.","Oh, my boyfriend is on another lacrosse team, and he missed 4 practices.","Well, then ...",... he <span class='highlight'>was put</span> on academic probation.,... he <span class='highlight'>has to have been put</span> on academic probation.,,bare / have to
filler,C,1025,i,,filler_i,gen ed ,"At my college, the study abroad program requires completing all the gen-ed classes.","Oh, my friend's in college, and she got into a study abroad program.","Well, then ...",... she <span class='highlight'>might have completed</span> all her gen ed requirements.,... she <span class='highlight'>has to have completed</span> all her gen ed requirements.,,might / have to
filler,C,1024,a,,filler_a,team-building,"After the audit last week, Chris was demoted.",I heard he used up the entire employee engagement budget in 9 months.,"Well, then ...",... it <span class='highlight'>triggered</span> an automatic review.,... it <span class='highlight'>might have triggered</span> an automatic review.,,bare / might
filler,C,1023,a,,filler_a,Overtime,Luke’s been coming home really late this week.,I heard he's working on a big project at work.,"Well, then ...",... he<span class='highlight'>'s been pulling</span> overtime. ,... he <span class='highlight'>has to have been pulling</span> overtime.,,bare / have to
filler,C,1022,a,,filler_a,pharma inspection,Bob’s employees had to work late in the lab yesterday.,I heard the lab he manages is being considered for Humane Research Facility Certification.,"Well, then ...",... the employees <span class='highlight'>might have gotten</span> a lot of extra work.  ,... the employees <span class='highlight'>have to have gotten</span> a lot of extra work.,,might / have to
check,A,2001,d,,check_1d,check_1d,The metro closes at 3 a.m. every night.,"Oh, I walked past a metro station last night at 2 a.m.","Well, then ...",... the metro <span class='highlight'>was</span> open. ,... the metro <span class='highlight'>was</span> closed. ,... the metro <span class='highlight'>was</span> open. ,
check,A,2002,d,,check_2d,check_2d,The robot that jumps the highest wins the competition.,"Oh, my friend entered that competition, and her robot jumped the highest.","Well, then ...",... she <span class='highlight'>won</span> the competition.,... she <span class='highlight'>lost</span> the competition .,... she <span class='highlight'>won</span> the competition.,
check,A,2003,d,,check_3d,check_3d,You need at least 80% on the final exam to pass the driving test.,"Oh, my cousin took the test last week and scored 75%.","Well, then ...",... he <span class='highlight'>failed</span> the test.,... he <span class='highlight'>passed</span> the test.,... he <span class='highlight'>failed</span> the test.,
check,A,2004,d,,check_4d,check_4d,The machine is on whenever the power light is blue.,"Oh, I just checked, and the power light is blue.","Well, then ...",... the machine <span class='highlight'>is</span> off.,... the machine <span class='highlight'>is</span> on.,... the machine <span class='highlight'>is</span> on.,
check,B,2001,d,,check_1d,check_1d,The metro closes at 3 a.m. every night.,"Oh, I walked past a metro station last night at 2 a.m.","Well, then ...",... the metro <span class='highlight'>was</span> open. ,... the metro <span class='highlight'>was</span> closed. ,... the metro <span class='highlight'>was</span> open. ,
check,B,2002,d,,check_2d,check_2d,The robot that jumps the highest wins the competition.,"Oh, my friend entered that competition, and her robot jumped the highest.","Well, then ...",... she <span class='highlight'>won</span> the competition.,... she <span class='highlight'>lost</span> the competition .,... she <span class='highlight'>won</span> the competition.,
check,B,2003,d,,check_3d,check_3d,You need at least 80% on the final exam to pass the driving test.,"Oh, my cousin took the test last week and scored 75%.","Well, then ...",... he <span class='highlight'>failed</span> the test.,... he <span class='highlight'>passed</span> the test.,... he <span class='highlight'>failed</span> the test.,
check,B,2004,d,,check_4d,check_4d,The machine is on whenever the power light is blue.,"Oh, I just checked, and the power light is blue.","Well, then ...",... the machine <span class='highlight'>is</span> off.,... the machine <span class='highlight'>is</span> on.,... the machine <span class='highlight'>is</span> on.,
check,C,2001,d,,check_1d,check_1d,The metro closes at 3 a.m. every night.,"Oh, I walked past a metro station last night at 2 a.m.","Well, then ...",... the metro <span class='highlight'>was</span> open. ,... the metro <span class='highlight'>was</span> closed. ,... the metro <span class='highlight'>was</span> open. ,
check,C,2002,d,,check_2d,check_2d,The robot that jumps the highest wins the competition.,"Oh, my friend entered that competition, and her robot jumped the highest.","Well, then ...",... she <span class='highlight'>won</span> the competition.,... she <span class='highlight'>lost</span> the competition .,... she <span class='highlight'>won</span> the competition.,
check,C,2003,d,,check_3d,check_3d,You need at least 80% on the final exam to pass the driving test.,"Oh, my cousin took the test last week and scored 75%.","Well, then ...",... he <span class='highlight'>failed</span> the test.,... he <span class='highlight'>passed</span> the test.,... he <span class='highlight'>failed</span> the test.,
check,C,2004,d,,check_4d,check_4d,The machine is on whenever the power light is blue.,"Oh, I just checked, and the power light is blue.","Well, then ...",... the machine <span class='highlight'>is</span> off.,... the machine <span class='highlight'>is</span> on.,... the machine <span class='highlight'>is</span> on.,
