Type,Group,item,inference,answer,condition_name,condition,dialog1,dialog2,dialog3,answer1,answer2,
filler,B,1026,i,,filler_i,lacrosse woes,"On my university lacrosse team, student-athletes on scholarship who miss 4 or more practice sessions without approval are automatically put on academic probation.","Oh, my roommate Jake is a student-athlete on a lacrosse scholarship at another university, and I know last year he missed over 4 of his practices, to hang out with his girlfriend.","Well, if he missed that many practices, ...",... he was put on academic probation.,... he will have been put on academic probation.,bare / will
filler,B,1025,i,,filler_i,gen ed ,"At the university my sister attends, undergraduate students need to complete all their general education requirements before being approved for the study abroad program.","Oh, my friend Jenna is an undergrad at another university and I know she recently got accepted for her study abroad program.","Well, if she got accepted to the study abroad program, ...",... she will have completed all her gen ed requirements.,... she probably completed all her gen ed requirements.,will / probably
filler,B,1024,a,,filler_a,team-building,Chris got demoted last week after the audit.,I heard he spent the entire employee engagement budget in less than 9 months.,"Well, if he spent the entire employee engagement budget in such a short time, ...",... it triggered an automatic review.,... it probably triggered an automatic review.,bare / probably
filler,B,1023,a,,filler_a,boutique,Leslie spent a fortune on clothes this month.,"I heard she attended a fancy store’s launch event a few weeks ago,","If she attended that store’s launch event, ...",... she bought a bunch of high-end items there.,... she will have bought a bunch of high-end items there. ,bare / will
filler,B,1022,a,,filler_a,pharma inspection,Bobs’s employees had to stay in the lab quite late yesterday.,I heard the lab he manages is up for a Humane Research Facility Certification.,"If his lab is up for a Humane Research Facility Certification, ...",... his lab will have been subject to a surprise animal wellfare inspection yesterday.,... his lab was probably subject to an animal wellfare inspection yesterday. ,will / probably
filler,C,1027,i,,filler_i,safety helmets,"At the engineering firm my dad works at, employees caught without their safety helmets get suspended.","Oh, my brother-in-law works for another engineering company and I know last week he got caught not wearing his helmet.","Well, if he got caught not wearing his helmet, ...",... he was suspended.,... he was probably suspended.,bare / probably
filler,C,1026,i,,filler_i,lacrosse woes,"On my university lacrosse team, student-athletes on scholarship who miss 4 or more practice sessions without approval are automatically put on academic probation.","Oh, my roommate Jake is a student-athlete on a lacrosse scholarship at another university, and I know last year he missed over 4 of his practices, to hang out with his girlfriend.","Well, if he missed that many practices, ...",... he was put on academic probation.,... he will have been put on academic probation.,bare / will
filler,C,1025,i,,filler_i,gen ed ,"At the university my sister attends, undergraduate students need to complete all their general education requirements before being approved for the study abroad program.","Oh, my friend Jenna is an undergrad at another university and I know she recently got accepted for her study abroad program.","Well, if she got accepted to the study abroad program, ...",... she will have completed all her gen ed requirements.,... she probably completed all her gen ed requirements.,will / probably
filler,C,1024,a,,filler_a,team-building,Chris got demoted last week after the audit.,I heard he spent the entire employee engagement budget in less than 9 months.,"Well, if he spent the entire employee engagement budget in such a short time, ...",... it triggered an automatic review.,... it probably triggered an automatic review.,bare / probably
filler,C,1023,a,,filler_a,boutique,Leslie spent a fortune on clothes this month.,I heard she attended a fancy store’s launch event a few weeks ago.,"If she attended that store’s launch event, ...",... she bought a bunch of high-end items there.,... she will have bought a bunch of high-end items there. ,bare / will
filler,C,1022,a,,filler_a,pharma inspection,Bobs’s employees had to stay in the lab quite late yesterday.,I heard the lab he manages is up for a Humane Research Facility Certification.,"If his lab is up for a Humane Research Facility Certification, ...",... his lab will have been subject to a surprise animal wellfare inspection yesterday.,... his lab was probably subject to an animal wellfare inspection yesterday. ,will / probably
check,A,2001,d,,check_1d,check_1d,The metro closes at 3 a.m. and doesn't reopen until 5 a.m.,"Oh, I walked past a metro station last night at 2 a.m.","If it was 2 a.m., ...",... the metro was open. ,... the metro was closed. ,answer1
check,A,2002,d,,check_2d,check_2d,"To qualify for the robotics competition, robots must complete the obstacle course in under 5 minutes.","Oh, my friend entered that competition, and I know her robot finished the course in 7 minutes.","If her robot took 7 minutes, ...",... she will qualify for the competition.,... she will be disqualified from the competition.,answer2
check,A,2003,d,,check_3d,check_3d,"To pass the driving test, you must score at least 80% on the final exam.","Oh, my cousin took the test last week and scored 75%.","If he scored 75%, ...",... he failed the test.,... he passed the test.,answer1
check,A,2004,d,,check_4d,check_4d,"Whenever the power light is blue, the machine is on.","Oh, I just checked, and the power light is blue.","If the power switch is blue, ...",... the machine is off.,... the machine is on.,answer2
check,B,2001,d,,check_1d,check_1d,The metro closes at 3 a.m. and doesn't reopen until 5 a.m.,"Oh, I walked past a metro station last night at 2 a.m.","If it was 2 a.m., ...",... the metro was open. ,... the metro was closed. ,answer1
check,B,2002,d,,check_2d,check_2d,"To qualify for the robotics competition, robots must complete the obstacle course in under 5 minutes.","Oh, my friend entered that competition, and I know her robot finished the course in 7 minutes.","If her robot took 7 minutes, ...",... she will qualify for the competition.,... she will be disqualified from the competition.,answer2
check,B,2003,d,,check_3d,check_3d,"To pass the driving test, you must score at least 80% on the final exam.","Oh, my cousin took the test last week and scored 75%.","If he scored 75%, ...",... he failed the test.,... he passed the test.,answer1
check,B,2004,d,,check_4d,check_4d,"Whenever the power light is blue, the machine is on.","Oh, I just checked, and the power light is blue.","If the power switch is blue, ...",... the machine is off.,... the machine is on.,answer2
check,C,2001,d,,check_1d,check_1d,The metro closes at 3 a.m. and doesn't reopen until 5 a.m.,"Oh, I walked past a metro station last night at 2 a.m.","If it was 2 a.m., ...",... the metro was open. ,... the metro was closed. ,answer1
check,C,2002,d,,check_2d,check_2d,"To qualify for the robotics competition, robots must complete the obstacle course in under 5 minutes.","Oh, my friend entered that competition, and I know her robot finished the course in 7 minutes.","If her robot took 7 minutes, ...",... she will qualify for the competition.,... she will be disqualified from the competition.,answer2
check,C,2003,d,,check_3d,check_3d,"To pass the driving test, you must score at least 80% on the final exam.","Oh, my cousin took the test last week and scored 75%.","If he scored 75%, ...",... he failed the test.,... he passed the test.,answer1
check,C,2004,d,,check_4d,check_4d,"Whenever the power light is blue, the machine is on.","Oh, I just checked, and the power light is blue.","If the power switch is blue, ...",... the machine is off.,... the machine is on.,answer2
